티커,종목명,Market,BPS,PER,PBR,EPS,DIV,DPS,Stocks
300720,한일시멘트,KOSPI,20910,10.86,0.59,1138,4.69,580,69261540.0
214320,이노션,KOSPI,42482,11.76,0.98,3530,5.18,2150,20000000.0
001060,JW중외제약,KOSPI,10660,34.11,4.26,1331,0.83,375,22835036.0
023590,다우기술,KOSPI,53655,2.01,0.32,8634,3.45,600,44866617.0
002840,미원상사,KOSPI,70659,10.89,2.27,14752,0.93,1500,4850000.0
003090,대웅,KOSPI,19933,5.64,0.7,2467,0.72,100,58141980.0
268280,미원에스씨,KOSPI,75680,10.19,1.74,12932,1.75,2300,5100000.0
064960,SNT모티브,KOSPI,66442,7.18,0.7,6470,3.44,1600,14623136.0
105630,한세실업,KOSPI,13687,9.6,1.53,2182,2.39,500,40000000.0
002240,고려제강,KOSPI,64024,6.8,0.34,3242,1.36,300,25000000.0
003540,대신증권,KOSPI,40616,8.07,0.35,1750,8.49,1200,50773400.0
006120,SK디스커버리,KOSPI,153209,1.87,0.26,21631,4.21,1700,19037855.0
007700,F&F홀딩스,KOSPI,52493,5.12,0.33,3384,2.02,350,39114367.0
344820,KCC글라스,KOSPI,90484,6.86,0.45,5894,5.93,2400,15970512.0
004490,세방전지,KOSPI,91306,15.52,0.55,3222,1.2,600,14000000.0
003240,태광산업,KOSPI,4906107,1.44,0.12,406090,0.3,1750,1113400.0
383800,LX홀딩스,KOSPI,21133,3.7,0.38,2190,3.82,310,76280690.0
200880,서연이화,KOSPI,26709,7.79,0.6,2060,0.94,150,27028437.0
000070,삼양홀딩스,KOSPI,240995,7.6,0.29,9173,5.02,3500,8564271.0
010690,화신,KOSPI,10839,5.94,1.23,2254,0.75,100,34920410.0
001680,대상,KOSPI,37616,7.84,0.48,2306,4.42,800,34648025.0
031430,신세계인터내셔날,KOSPI,23264,5.19,0.74,3313,2.91,500,35700000.0
025540,한국단자,KOSPI,84382,11.73,0.66,4723,1.26,700,10415000.0
377740,바이오노트,KOSPI,15707,1.56,0.32,3277,9.61,490,101976048.0
001390,KG케미칼,KOSPI,57371,1.96,0.8,23384,1.09,500,13866096.0
005610,SPC삼립,KOSPI,48007,10.12,1.39,6568,2.56,1700,8629009.0
001530,DI동일,KOSPI,31182,7.07,0.64,2803,1.26,250,26040677.0
192400,쿠쿠홀딩스,KOSPI,31140,4.1,0.49,3755,5.2,800,35562185.0
020000,한섬,KOSPI,60819,3.39,0.31,5599,3.95,750,24630000.0
000640,동아쏘시오홀딩스,KOSPI,157100,52.13,0.59,1784,1.61,1500,6348913.0
